ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001595,HY191041,11/02/2014 05:57:00 AM,003XX W 110TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0513,005,34,49,26,1176052,1831981,2014,02/04/2016 06:33:39 AM,41.694312067,-87.631046339,"(41.694312, -87.631046)"
10007031,HY196398,03/08/2015 09:00:00 AM,082XX S EVANS AVE,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,APARTMENT,false,false,0631,006,6,44,11,1182660,1850549,2015,08/17/2015 03:03:40 PM,41.745114521,-87.606278737,"(41.745115, -87.606279)"
10009684,HY199045,03/08/2015 04:00:00 AM,018XX N SHEFFIELD AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,1813,018,43,7,11,1169343,1912524,2015,08/17/2015 03:03:40 PM,41.915478306,-87.653276515,"(41.915478, -87.653277)"
10012713,HY202475,03/08/2015 08:00:00 AM,084XX S EXCHANGE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,0423,004,10,46,26,1197281,1849663,2015,08/17/2015 03:03:40 PM,41.742331781,-87.552735548,"(41.742332, -87.552736)"
10033820,HY223111,11/02/2014 08:00:00 AM,030XX N DRAKE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,false,true,1412,014,35,21,02,1152188,1920160,2014,02/04/2016 06:33:39 AM,41.93678811,-87.71610066,"(41.936788, -87.716101)"
10158010,HY347156,07/19/2015 03:44:00 PM,016XX W 46TH ST,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,STREET,true,false,0924,009,3,61,15,1165992,1874208,2015,04/25/2016 03:49:09 PM,41.8104081,-87.666680826,"(41.810408, -87.666681)"
10292456,HY480215,11/02/2014 05:00:00 AM,052XX W CHICAGO AVE,0810,THEFT,OVER $500,RESTAURANT,false,false,1524,015,37,25,06,,,2014,02/04/2016 06:33:39 AM,,,
10296227,HY484424,11/01/2015 02:50:00 AM,028XX W 47TH ST,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,0922,009,14,58,16,1158073,1873363,2015,11/08/2015 03:53:19 PM,41.808254208,-87.695749933,"(41.808254, -87.69575)"
10296236,HY484377,11/01/2015 02:07:00 AM,015XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,STREET,true,false,1424,014,1,24,08B,1163043,1910387,2015,11/08/2015 03:53:19 PM,41.909748978,-87.676482203,"(41.909749, -87.676482)"
10296237,HY484383,11/01/2015 02:10:00 AM,048XX S MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,false,false,0224,002,3,38,14,1177976,1872910,2015,11/08/2015 03:53:19 PM,41.806582764,-87.622764529,"(41.806583, -87.622765)"
10296250,HY484430,11/01/2015 02:29:00 AM,008XX N ORLEANS ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,1823,018,27,8,08B,1173756,1906378,2015,11/08/2015 03:53:19 PM,41.898516209,-87.637246929,"(41.898516, -87.637247)"
